Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Давимука,Віталій,Євгенович,Чоловіча,1944-06-06,Математик,селище Павлоград,"провулок Ланжерон, буд. 298 кв. 8, Південне , 15568",772-81-34,rbabko@example.net
Гузь,Маруся,Олександрівна,Жіноча,1979-10-14,Швачка,селище Баштанка,"вулиця Леваневського, буд. 7, Миколаївка , 97327",252-06-83,danylenkohavrylo@example.org
Ярош,Маруся,Сергіївна,Жіноча,1965-08-26,Редактор,місто Жмеринка,"проспект Мічманський 2-й, буд. 87 кв. 1, Красногорівка, 67947",071-32-24,kylymnyksofiia@example.org
Гайворонська,Клавдія,Олександрівна,Жіноча,2005-01-16,Математик,селище Черкаси,"проспект Тещин міст, буд. 353 кв. 0, Севастополь, 35197",066 991 76 24,viacheslavhodunok@example.net
Верес,Устим,Васильович,Чоловіча,2008-04-10,Кур'єр,хутір Антрацит ,"площа Заводська 5-та, буд. 189 кв. 585, Червоносів, 87548",804 79 38,shynkarenkolevko@example.org
Слюсар,Ростислав,Сергійович,Чоловіча,2007-03-25,Ґрунтознавець,хутір Тульчин,"провулок Бібліотечна, буд. 7, Гайсин, 25666",274 17 61,vashchukstepan@example.net
Артим,Соломія,Дмитрівна,Жіноча,1963-04-10,Ветеринар,село Торецьк,"площа Отрада, буд. 2, Жданівка, 32800",+380 53 983 75 76,avyshniak@example.org
Якимчук,Лесь,Андрійович,Чоловіча,1990-01-07,Слідчий,місто Шпола,"проспект Горбиста, буд. 8, Турка, 81177",729-22-08,qduplii@example.com
Запорожець,Вʼячеслав,Дмитрович,Чоловіча,1997-10-18,Локсмайстер,селище Фастів,"парк 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 94, Сновськ, 30039",082 375 96 64,vadymievtushenko@example.org
Вдовиченко,Володимир,Ярославович,Чоловіча,1997-05-03,Шериф,селище Вінниця,"шосе Дністровська, буд. 536 кв. 77, Рогатин, 48515",+380 (61) 764-26-97,rviter@example.com
Ярема,Дарина,Богданівна,Жіноча,1987-12-25,Акушер,селище Володимир-Волинський,"проспект Балтська дорога, буд. 183, Умань, 55853",057-84-48,iarema64@example.net
Кириленко,Гаврило,Дмитрович,Чоловіча,1947-06-20,Електромонтажник,селище Бурштин ,"площа Ростовська, буд. 970, Самбір, 11036",548 01 14,bohdan89@example.com
Чумак,Степан,Петрович,Чоловіча,1966-07-20,Гінеколог,село Ясинувата,"шосе Житомирський 3-й, буд. 573, Козятин, 99223",+380 32 858 94 05,davydlaba@example.com
Рева,Степан,Васильович,Чоловіча,1998-07-17,Науковець,місто Ровеньки,"узвіз Восьмого Березня Лінія 4-та, буд. 1 кв. 26, Снігурівка, 82982",+380 46 830-68-97,vakulenkoiustyna@example.com
Яковенко,Маруся,Романівна,Жіноча,1977-01-16,Фольклорист,селище Коростень,"проспект Володимира Вінниченка, буд. 968 кв. 61, Підгородне, 31339",032 768 11 43,chubaiiaroslava@example.org
Журба,Станіслав,Миколайович,Чоловіча,1985-09-13,Мінералог,село Вугледар,"сквер Людмили Гінзбург, буд. 2, Ходорів, 16123",+380 06 542-71-62,frantsdevdiuk@example.org
Архимович,Михайлина,Володимирівна,Жіноча,2005-02-11,Науковець,місто Одеса,"набережна Ключовий 1-й, буд. 420, Заліщики, 95757",518 08 57,tiahnybokoleksandr@example.net
Наливайко,Євген,Романович,Чоловіча,1991-11-02,Кур'єр,місто Чорнобиль,"парк Водний, буд. 788 кв. 7, Гребінка, 37741",+380 53 456 50 00,vpylypenko@example.org
Тимченко,Людмила,Олександрівна,Жіноча,1968-11-09,Режисер,село Приморськ (Україна),"узвіз Лінія 37-ма, буд. 535 кв. 68, Привілля, 47118",+380 (06) 077-87-13,vashchenkoaaron@example.com
Масляк,Єва,Віталіївна,Жіноча,1970-11-05,Машиніст,селище П'ятихатки,"узвіз Клинова, буд. 50, Перевальськ, 61780",+380 41 588-23-24,ielyseikhrystenko@example.com
Дерегус,Йосип,Євгенович,Чоловіча,1987-04-18,Літературознавець,село Чорнобиль,"набережна Об'їзна дорога, буд. 84, Ірміно, 84045",+380 (34) 796-15-90,hryhorii88@example.org
Рябченко,Аліна,Федорівна,Жіноча,1953-12-30,Секретар,хутір Червоносів,"площа Басейний 6-й, буд. 1 кв. 5, Маріуполь, 17310",+380 99 462-28-62,kashchenkotetiana@example.org
Левченко,Аркадій,Федорович,Чоловіча,1959-04-10,Електромонтер,селище Хмільник,"узвіз Текстильників, буд. 0 кв. 469, Генічеськ, 05941",162 20 42,shynkarenkoliudmyla@example.org
Їжакевич,Ада,Романівна,Жіноча,1985-09-07,Режисер,село Шостка,"парк Пересипська 2-га, буд. 698 кв. 8, Каховка, 79768",115 59 40,uneporozhnii@example.com
Дацюк,Розалія,Леонідівна,Жіноча,1939-01-19,Фрілансер,село Нова Одеса,"вулиця Джерельна, буд. 990 кв. 257, Погребище, 37863",+380 71 395 89 85,zaleksiichuk@example.net
Годунок,Орися,Григорівна,Жіноча,1977-07-05,Дипломат,селище Бершадь,"площа Лінія 38-ма, буд. 1 кв. 8, Авдіївка, 73503",+380 (79) 751-48-13,ustym05@example.com
Дрозденко,Омелян,Євгенович,Чоловіча,1941-11-20,Музикант,село Буськ,"провулок Пугачова, буд. 4, Докучаєвськ, 94470",201-32-36,darahanfrants@example.net
Єщенко,Тимофій,Юрійович,Чоловіча,1962-05-06,Живописець,село Нова Одеса,"набережна Паустовського, буд. 66 кв. 80, Сарни, 06688",056 651-14-18,zynovii05@example.net
Матяш,Варвара,Євгенівна,Жіноча,1978-12-06,Науковець,хутір Енергодар,"сквер Соляний 6-й, буд. 23, Решетилівка, 95500",076 276 20 80,qfastenko@example.com
Дробʼязко,Ілля,Миколайович,Чоловіча,2000-11-18,Шериф,село Харцизьк,"набережна Деревообробний 5-й, буд. 74, Южноукраїнськ, 68304",+380 (30) 934-61-40,onysym32@example.org
Дергач,Теодор,Володимирович,Чоловіча,1949-01-08,Математик,хутір Першотравенськ,"набережна 14-та Суворовська, буд. 78, Дунаївці, 75163",936 41 52,vitaliikhorishko@example.org
Макаренко,Маруся,Вікторівна,Жіноча,1951-02-06,Географ,хутір Новий Калинів,"парк Одарія, буд. 49, Дергачі, 01808",759-32-59,marta10@example.net
Гаврилюк,Ярослава,Романівна,Жіноча,1960-10-08,Дипломат,село Жовква,"шосе Сабанський, буд. 0 кв. 10, Чортків, 37812",260 95 25,dkhudiak@example.org
Овсієнко,Олег,Сергійович,Чоловіча,1962-11-05,Фармацевт,хутір Чортків,"шосе 5-та Суворовська, буд. 064, Соснівка , 64581",+380 (80) 929-46-89,parmen84@example.net
Оліфіренко,Оксенія,Павлівна,Жіноча,1979-10-21,Штукатур,місто Лисичанськ,"сквер Шовкуненка, буд. 093, Звенигородка, 38859",054 117-35-23,oles19@example.net
Скиба,Богуслава,Романівна,Жіноча,1945-04-03,Фермер,село Білозерське,"площа Мала, буд. 45 кв. 430, Новоазовськ, 48758",+380 13 884 24 31,wivanychuk@example.com
Бевз,Франц,Віталійович,Чоловіча,2008-01-14,Зоолог,хутір Охтирка,"вулиця Тіниста, буд. 82, Корець, 22219",098 060 80 69,oleksaieroshenko@example.com
Мірошниченко,Віктор,Вікторович,Чоловіча,1976-12-20,Мінералог,місто Лохвиця,"парк Красний, буд. 21, Христинівка, 52960",161 08 04,jprokopovych@example.org
Скиба,Орися,Вікторівна,Жіноча,2000-07-28,Вчитель,місто Красноград,"площа Юхима Фесенка, буд. 163 кв. 076, Глиняни, 20449",+380 (03) 680-06-93,khomariaboshapka@example.net
Давимука,Геннадій,Петрович,Чоловіча,1993-08-12,Намотувальник,хутір Міусинськ,"парк Черняховського, буд. 5 кв. 25, Копичинці, 63236",+380 71 623-82-19,mpryimak@example.net
Шморгун,Галина,Іванівна,Жіноча,1976-09-04,Бухгалтер,місто Вишгород,"провулок Павла Шклярука, буд. 094, Шумськ, 98630",+380 09 638-59-43,iaroslavkhrystenko@example.com
Короленко,Геннадій,Богданович,Чоловіча,1949-05-30,Кінорежисер,хутір Долина ,"набережна Баштанна, буд. 9, Олександрівськ, 77447",+380 98 288-60-45,nivasiuk@example.com
Свистун,Орхип,Васильович,Чоловіча,1945-09-12,Підприємець,село Жданівка,"вулиця Академіка Ясиновського, буд. 87, Сколе, 55992",+380 05 996-60-35,sviatoslavshvachko@example.com
Шаповал,Павло,Віталійович,Чоловіча,1982-11-03,Зоолог,селище Торецьк,"узвіз Планетна, буд. 930 кв. 7, Городенка, 78939",+380 (62) 121-44-03,snizhana92@example.com
Канівець,Роман,Андрійович,Чоловіча,2003-02-12,Гицель,місто Пирятин,"набережна Базарна, буд. 178 кв. 5, Жданівка, 27870",099 608 08 25,fesenkorozaliia@example.org
Ґалаґан,Варвара,Сергіївна,Жіноча,2006-05-09,Агроном,село Довжанськ,"площа Чехова, буд. 04 кв. 785, Березне, 76733",+380 (38) 938-91-15,liudmyla45@example.com
Дрозд,Ольга,Володимирівна,Жіноча,1956-07-08,Сантехнік,селище Ківерці,"вулиця Чорноморський 3-й, буд. 62 кв. 30, Могилів-Подільський, 05493",+380 20 760-91-20,valentyn60@example.net
Деркач,Аркадій,Богданович,Чоловіча,1986-09-06,Гицель,хутір Кам'янка (Черкаська область),"узвіз 8-ма Лінія Дачі Ковалевського, буд. 7, Долинська, 99776",208 98 31,tereza88@example.com
Яременко,Аврелій,Віталійович,Чоловіча,1981-01-06,Геолог,селище Рубіжне,"узвіз Єфімова, буд. 775, Ізмаїл, 11003",751-03-21,illia87@example.org
Фесенко,Лариса,Леонідівна,Жіноча,1972-11-03,Скульптор,хутір Острог,"сквер Героїв оборони Одеси, буд. 0 кв. 904, Мирноград, 70573",+380 15 466 81 95,fomenkodanylo@example.com
Конопля,Аарон,Петрович,Чоловіча,1974-12-05,Живописець,село Лисичанськ,"проспект Морська, буд. 69 кв. 19, Барвінкове, 47525",+380 48 414-23-49,ielysaveta85@example.com
Яремко,Пантелеймон,Петрович,Чоловіча,1948-06-11,Конструктор,місто Заводське,"площа Ялинковий, буд. 7 кв. 068, Хотин, 22881",+380 79 649 06 90,eduard24@example.net
Баклан,Андрій,Ярославович,Чоловіча,1968-11-19,Режисер,хутір Южноукраїнськ,"площа Овідіопольська, буд. 19 кв. 64, Кодима, 33099",091 561-11-73,chekaliukdanna@example.com
Охріменко,Йосип,Богданович,Чоловіча,1949-01-23,Петрограф,село Лубни,"узвіз Пржевальського, буд. 282, Ланівці, 47450",080 702-26-60,frantsudovenko@example.org
Оліфіренко,Гаврило,Федорович,Чоловіча,1996-07-23,Зоолог,місто Герца,"парк Шишкіна, буд. 773 кв. 779, Шпола, 53546",113 34 95,avhustyn52@example.org
Негода,Феофан,Олександрович,Чоловіча,1950-03-04,Живописець,хутір Часів Яр,"парк Давида Ойстраха, буд. 19, Кіцмань, 23828",+380 85 531-40-53,kyrylenkovasyl@example.org
Прокопович,Борислав,Романович,Чоловіча,2006-07-01,Публіцист,хутір Зимогір'я,"шосе Черепанових 2-й, буд. 0, Переяслав, 35093",+380 (94) 773-60-83,serhiitsisyk@example.net
Гунько,Едуард,Романович,Чоловіча,1992-06-01,Астронавт,селище Роздільна,"узвіз Водопровідний 2-й, буд. 2, Свалява, 98856",+380 (63) 981-58-02,svitlanaeibozhenko@example.net
Франко,Марʼяна,Ярославівна,Жіноча,1955-01-30,Парфюмер,село Ровеньки,"узвіз Історія Футболу, буд. 677 кв. 5, Новомосковськ, 49545",+380 22 659 98 84,panasakulenko@example.org
Засядько,Демʼян,Віталійович,Чоловіча,1967-06-03,Графік,село Сколе,"набережна Зелена, буд. 24 кв. 3, Таврійськ, 30294",169-61-21,danylo32@example.net
Сірко,Ігор,Ярославович,Чоловіча,1969-02-14,Кінолог,хутір Ізяслав,"сквер Олександра Матросова, буд. 714, Вишневе , 61692",037-43-25,trokhymzabila@example.net
Юрчук,Святослава,Павлівна,Жіноча,2005-11-20,Епідеміолог,село Олешки,"узвіз Зої Космодем’янської, буд. 59 кв. 781, Нововолинськ, 03292",039 128-51-79,ciashchenko@example.net
Іщенко,Богуслава,Вікторівна,Жіноча,1944-05-13,Електрослюсар,селище Сєвєродонецьк,"провулок Пересипський 2-й, буд. 290, Сокиряни, 85350",+380 61 047 92 21,gbaran@example.com
Дахно,Євген,Віталійович,Чоловіча,1978-05-04,Етнограф,місто Кам'янське,"вулиця Лермонтовський, буд. 3 кв. 02, Ніжин, 31424",+380 32 373-90-72,olespavlyk@example.net
Євдокименко,Златослава,Романівна,Жіноча,1957-12-01,Гінеколог,місто Погребище,"площа Дунаєвського, буд. 82, Радомишль, 26364",+380 90 000-93-11,marusiastus@example.net
Аверченко,Богданна,Григорівна,Жіноча,1973-12-01,Золотар,село Кривий Ріг,"проспект Дніпровська, буд. 3, Боярка, 16480",064 516-49-95,ielysaveta87@example.net
Петлюра,Зиновій,Євгенович,Чоловіча,2007-08-22,Програміст,хутір Лебедин,"узвіз Висоцького, буд. 26 кв. 79, Сквира, 16506",+380 78 296-84-17,otryhub@example.org
Запорожець,Остап,Дмитрович,Чоловіча,1952-12-06,Педагог,хутір Чортків,"площа 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 2, Могилів-Подільський, 50831",+380 (78) 627-56-90,pustovitdavyd@example.net
Засуха,Роксолана,Миколаївна,Жіноча,1954-01-28,Підприємець,село Немирів,"шосе Більшовицький, буд. 34, Броди, 46866",+380 78 021 17 48,aronetsstepan@example.org
Франко,Марія,Віталіївна,Жіноча,2008-06-09,Сантехнік,хутір Миронівка,"узвіз Міцкевича, буд. 87 кв. 3, Чорнобиль, 20016",+380 93 775 93 03,vyshniakoksana@example.com
Нестайко,Надія,Юріївна,Жіноча,1946-10-26,Парфюмер,село Ковель,"провулок Лесі Українки, буд. 7, Дрогобич, 45968",+380 47 623-93-32,gerusanita@example.org
Олійник,Макар,Федорович,Чоловіча,1974-02-12,Драматург,місто Мерефа,"площа Дніпровська, буд. 490, Новоазовськ, 52584",082 503 76 60,geruspanteleimon@example.net
Павличенко,Гордій,Миколайович,Чоловіча,1955-07-12,Менеджер,селище Хрустальний,"узвіз Чорноморський 4-й, буд. 463, Сквира, 89709",+380 (25) 986-70-91,abrahamovskyivalentyna@example.net
Євтушенко,Вʼячеслав,Олександрович,Чоловіча,1943-10-30,Антрополог,селище Гнівань,"провулок Сергія Уточкіна, буд. 42 кв. 262, Галич, 28156",+380 56 482-57-88,iustymzasenko@example.org
Закусило,Одарка,Ярославівна,Жіноча,1998-08-05,Фрілансер,місто Калуш,"вулиця Восьмого березня 4-й, буд. 10 кв. 62, Енергодар, 77477",210-40-56,symonstets@example.org
Александренко,Андрій,Дмитрович,Чоловіча,2001-05-15,Паблік рилейшнз,місто Соснівка ,"узвіз Ромашкова, буд. 5 кв. 943, Донецьк, 93531",871 75 52,tychynaavrelii@example.com
Івасюк,Тетяна,Миколаївна,Жіноча,1939-06-09,Письменник,місто Рава-Руська,"узвіз Балтський 2-й, буд. 91 кв. 652, Краматорськ, 65676",015 105 84 37,dandemianchuk@example.com
Ємець,Пріска,Богданівна,Жіноча,1952-12-04,Промисловець,село Красногорівка,"проспект Рощева, буд. 3 кв. 28, Сокаль, 40908",774-04-16,vbashpolchenko@example.org
Пустовіт,Тарас,Леонідович,Чоловіча,1958-08-27,Фотограф,хутір Хмельницький,"узвіз Нова, буд. 78, Ясинувата, 59095",+380 18 301-95-95,avhustyn71@example.com
Уманець,Данна,Володимирівна,Жіноча,1966-10-31,Співак,місто Іршава,"вулиця Братська, буд. 291 кв. 81, Мирноград, 87358",670-55-93,prymachenkovenedykt@example.net
Петрик,Віктор,Іванович,Чоловіча,1992-04-15,Флорист,селище Павлоград,"набережна Іванівський переїзд, буд. 316, Зіньків, 04680",+380 66 662-32-99,orest82@example.com
Фурс,Златослава,Віталіївна,Жіноча,1975-02-16,Зоолог,місто Коломия,"шосе Орловська, буд. 16, Керч, 16512",+380 28 853-73-31,iereskofeofan@example.com
Ковалюк,Феофан,Васильович,Чоловіча,1998-01-19,Шериф,село Карлівка,"парк Водопровідний 1-й, буд. 855 кв. 33, Одеса, 57004",+380 (91) 903-66-17,fievtushenko@example.com
Оберемко,Гаврило,Романович,Чоловіча,1980-07-08,Стоматолог,хутір Хотин,"вулиця Болградська, буд. 82 кв. 5, Південне , 44003",426-14-46,azar79@example.com
Полтавець,Лілія,Павлівна,Жіноча,1941-07-18,Машиніст,місто Червоносів,"парк Травневий 2-й, буд. 4 кв. 6, Бучач, 57236",088 878 08 50,odarkabarabash@example.org
Цюцюра,Маруся,Леонідівна,Жіноча,1986-04-03,Машиніст,хутір Долинська,"вулиця Чернишевського, буд. 21 кв. 057, Яремче, 27849",759 91 80,tykhaivan@example.net
Удовиченко,Аарон,Романович,Чоловіча,1949-02-14,Гірничий інженер,село Валки ,"парк Старопортофранківська, буд. 33, Камінь-Каширський, 71660",+380 83 743 57 91,zabilaedyta@example.com
Вишиваний,Анжела,Дмитрівна,Жіноча,1956-01-16,Ботанік,місто Бахмач,"проспект Леонова, буд. 5 кв. 4, Носівка, 71008",040 649-31-52,gprymachenko@example.org
Гайдай,Костянтин,Петрович,Чоловіча,1966-01-12,Мікробіолог,місто Сквира,"шосе Князівський, буд. 7, Прип'ять , 24690",209 32 65,dveres@example.org
Іваненко,Орест,Ярославович,Чоловіча,1952-03-01,Професор,селище Вижниця,"вулиця Самодіяльна, буд. 906 кв. 2, Липовець, 32643",+380 38 635-00-67,marianavasylashko@example.com
Шило,Еріка,Юріївна,Жіноча,1958-12-10,Інженер,хутір Баранівка,"шосе Прохоровський, буд. 501, Южне, 47460",030 462-76-25,darahanklyment@example.org
Цимбал,Христина,Ярославівна,Жіноча,1962-06-27,Дантист,хутір Вуглегірськ,"узвіз Обільний 2-й, буд. 092, Новий Калинів, 07693",+380 01 768-40-96,bohuslavadotsenko@example.com
Іванченко,Світлана,Віталіївна,Жіноча,1971-12-04,Перекладач,місто Сновськ,"проспект Четверта, буд. 7 кв. 083, Золотоноша, 64608",+380 52 764-54-52,khrystyna21@example.com
Абрагамовський,Богуслава,Ярославівна,Жіноча,1953-11-03,Піаніст,місто Копичинці,"набережна Сашка Хорошенка, буд. 48, Українка , 57831",+380 94 634-06-00,venedyktgerega@example.org
Товстоліс,Феофан,Іванович,Чоловіча,1979-03-14,Нотаріус,хутір Гірське,"сквер Ланжеронівська, буд. 988 кв. 81, Ясинувата, 20280",+380 80 802-68-65,avhustynandriichuk@example.com
Чекалюк,Ярослав,Романович,Чоловіча,1986-01-24,Психолог,місто Алчевськ,"провулок Моторний 2-й, буд. 33, Авдіївка, 30719",968-79-85,myronkanivets@example.org
Артюх,Софія,Євгенівна,Жіноча,1977-05-11,Реабілітолог,хутір Славутич,"набережна Виноградна 2-га, буд. 791, Узин, 87302",+380 (29) 362-63-12,akhomyk@example.com
Петлюра,Соломія,Вікторівна,Жіноча,1951-04-14,Локсмайстер,селище Первомайський ,"набережна Пржевальського, буд. 8 кв. 147, Ясинувата, 65539",+380 (57) 944-92-69,andrusenkomykolai@example.org
Данькевич,Устим,Іванович,Чоловіча,1975-04-29,Стропальник,хутір Кадіївка,"узвіз Новгородський, буд. 193 кв. 89, Кременець, 03339",993-53-95,kolodubhavrylo@example.org
Абраменко,Мирослав,Євгенович,Чоловіча,2000-07-07,Візажист,хутір Хрустальний,"провулок Бугаївська, буд. 88, П'ятихатки, 72274",+380 54 893-83-46,saienkohanna@example.org
Андрусенко,Оксана,Дмитрівна,Жіноча,2004-07-19,Кіноактор,хутір Рава-Руська,"вулиця Відважних, буд. 392 кв. 56, Щолкіне, 11317",058 622-67-37,okseniiavlasiuk@example.com
Харченко,Олександр,Петрович,Чоловіча,1982-06-12,Пілот,хутір Армянськ,"парк Проектований 4-й, буд. 1 кв. 005, Рава-Руська, 79989",+380 55 493-41-53,xshamrai@example.com
Свистун,Соломія,Віталіївна,Жіноча,1951-08-28,Мистецтвознавець,місто Олевськ,"парк Бахчева, буд. 309, Сімферополь, 21902",077 782 48 68,ebaranyk@example.org
Ірванець,Віталій,Вікторович,Чоловіча,1983-05-16,Історик,селище Боярка,"парк Миколи Огренича, буд. 6 кв. 2, Кролевець, 26736",+380 30 213-58-99,vadymchernenko@example.net
Козак,Панас,Олександрович,Чоловіча,2005-12-18,Архітектор,селище Покровськ,"набережна Бехтерєва, буд. 472 кв. 98, Борислав, 32026",+380 (87) 677-44-83,ovcharenkomykhailyna@example.net
Батуринець,Амалія,Євгенівна,Жіноча,1994-08-16,Філолог,місто Славутич,"парк Політкаторжан, буд. 0, Гірське, 13716",+380 72 374-68-84,klavdiiahaievska@example.com
Михайличенко,Людмила,Андріївна,Жіноча,1956-11-18,Футболіст,селище Кривий Ріг,"вулиця Обільний 1-й, буд. 056, Миколаївка , 40501",396 44 22,fbabko@example.org
Шведченко,Василина,Юріївна,Жіноча,1971-06-17,Архітектор,хутір Молочанськ,"парк Бугаївська, буд. 54, Кропивницький, 31870",759-24-05,volodymyrrak@example.org
Заєць,Алевтин,Леонідович,Чоловіча,1966-07-20,Підприємець,селище Бершадь,"узвіз Інглезі, буд. 365 кв. 74, Лохвиця, 14670",+380 99 903-49-76,haidamakasviatoslav@example.net
Шинкаренко,Зиновій,Васильович,Чоловіча,1947-06-21,Вчитель,місто Запоріжжя,"сквер Аеродромний 2-й, буд. 3 кв. 1, Березань , 39960",094 29 99,mishchenkoonysym@example.org
Вишняк,Юстим,Віталійович,Чоловіча,1967-07-31,Локсмайстер,хутір Кіцмань,"провулок Леваневського, буд. 93, Судак , 25828",+380 77 441-51-54,jshukhevych@example.com
Рудик,Богуслав,Павлович,Чоловіча,1994-06-16,Акушер,хутір Старокостянтинів,"узвіз Розумовський 2-й, буд. 7 кв. 232, Нове Давидково, 74788",011 736 87 95,hryhorii72@example.net
Іщак,Олесь,Миколайович,Чоловіча,1984-10-24,Прокурор,хутір Черкаси,"сквер Юхима Геллера, буд. 959 кв. 0, Конотоп, 88229",+380 01 104-53-37,kopytkodavyd@example.org
Гаврилишин,Ганна,Богданівна,Жіноча,1939-08-14,Етнограф,місто Карлівка,"узвіз Абрикосова, буд. 674 кв. 881, Зугрес, 26157",393 00 54,dan87@example.org
Ільченко,Камілла,Петрівна,Жіноча,1951-03-11,Парфюмер,селище Географія Вільнянська,"набережна Кримський, буд. 8 кв. 55, Радивилів, 34722",+380 01 487 10 50,orynakhrystenko@example.org
Малишко,Олег,Леонідович,Чоловіча,1990-08-24,Складальник,село Старокостянтинів,"площа Лінія 26-та, буд. 03, Бобровиця, 51459",054 921 61 25,hlibiefymenko@example.com
Колісниченко,Максим,Ярославович,Чоловіча,1995-09-29,Петрограф,селище Кілія,"вулиця Пассіонарії, буд. 065, Коростишів, 18469",081 47 36,vanchenkoviktor@example.org
Забара,Мирослав,Віталійович,Чоловіча,1982-12-12,Кіноактор,місто Каховка,"вулиця Амундсена, 1-й, буд. 7 кв. 765, Волочиськ, 18047",+380 81 251 19 31,oleskorbut@example.net
Фастенко,Пилип,Андрійович,Чоловіча,1974-01-17,Кінорежисер,село Тиврів,"площа Богдана Хмельницького, буд. 87, Лохвиця, 91551",999-65-70,wvasylashko@example.com
Свистун,Ілля,Васильович,Чоловіча,1979-05-20,Прокурор,хутір Деражня,"сквер Моторний 1-й, буд. 363, Шумськ, 58021",049 64 56,alevtynvasylashko@example.org
Кабаненко,Мартин,Богданович,Чоловіча,1953-04-10,Кухар,місто Біла Церква,"провулок Тупиковий 1-й, буд. 75, Перевальськ, 88197",145-70-50,oles94@example.org
Ґереґа,Трохим,Федорович,Чоловіча,2008-03-14,Журналіст,хутір Миколаїв,"узвіз Лугова, буд. 2 кв. 207, Тараща, 82701",907 63 99,dzhunustym@example.org
Ващук,Омелян,Миколайович,Чоловіча,1981-06-22,Ювелір,хутір Ямпіль,"площа Таїрова, буд. 3, Лутугине, 70196",236 52 76,karpakhrystyna@example.org
Артеменко,Орина,Євгенівна,Жіноча,1975-02-26,Ботанік,хутір Богуслав,"площа Магнітогорський 2-й, буд. 502 кв. 7, Ізяслав, 47254",+380 (71) 293-33-30,kovpakdanna@example.com
Гаврюшенко,Вадим,Юрійович,Чоловіча,1972-05-31,Няня,хутір Хирів,"вулиця Перепечка, буд. 71 кв. 35, Турка, 81654",+380 68 831-63-85,opanas65@example.org
Воблий,Євген,Юрійович,Чоловіча,1993-03-17,Ботанік,хутір Донецьк,"сквер Заводська 4-та, буд. 70, Пирятин, 82753",156-81-31,hrytsenkoada@example.net
